color;shape;number_of_buttons;picture
1;1;1;files/Bild2.png
1;1;0;files/Bild3.png
1;0;1;files/Bild4.png
1;0;0;files/Bild5.png
0;1;1;files/Bild6.png
0;1;0;files/Bild7.png
0;0;1;files/Bild8.png
0;0;0;files/Bild9.png
